관측소명,GENNUM,관측소표준코드,최초설치,구분,설치년도,경도-도,경도-분,경도-초,위도-도,위도-분,위도-초,표고(El.m),심도(m)
순창현포,737622,JB-SNC-E1-0012,수질,심부2,2017,127,14,41.84,35,26,28.38,90.983,82
순창현포,737621,JB-SNC-E1-0010,수질,천부,2017,127,14,41.84,35,26,28.38,90.968,10
순천동송,,JN-SCN-E1-0002,수질,심부1,2011,,,,,,,15.2,30
순천동송,,JN-SCN-E1-0003,수질,심부2,2011,,,,,,,15.2,80
순천동송,,JN-SCN-E1-0001,수질,천부,2011,,,,,,,15.2,15
순천상사,65057,JN-SCN-L1-0005,국가,암반,1999,127,27,27,34,56,11,15.762,70
순천승주,65058,JN-SCN-L1-0006,국가,암반,1999,127,23,30,35,0,41,125.134,70
순천외서,9896,JN-SCN-L1-0003,국가,암반,1997,127,16,44,34,54,39,201.69,70
순천외서,9897,JN-SCN-L1-0004,국가,충적,1997,127,16,44,34,54,39,201.71,12.04
순천주암,717013,JN-SCN-L1-0009,국가,암반,2017,127,18,17,35,1,50,203.89,100
순천풍덕,6752,JN-SCN-L1-0001,국가,암반,1995,127,30,39,34,56,3,6.295,60
순천풍덕,6753,JN-SCN-L1-0002,국가,충적,1995,127,30,39,34,56,3,6.436,10
순천황전,65059,JN-SCN-L1-0007,국가,암반,1999,127,25,44,35,5,54,69.316,70
순천황전,65060,JN-SCN-L1-0008,국가,충적,1999,127,25,44,35,5,54,69.311,21.59
신안신용,,JN-SAN-E1-0002,수질,심부1,2018,,,,,,,18.269,32
신안신용,771479,JN-SAN-E1-0003,수질,심부2,2018,,,,,,,18.281,83
신안신용,771480,JN-SAN-E1-0001,수질,천부,2018,,,,,,,18.277,11
신안신장,,JN-SAN-E1-0005,수질,심부1,2018,,,,,,,22.511,43
신안신장,771481,JN-SAN-E1-0006,수질,심부2,2018,,,,,,,22.403,80
신안신장,771480,JN-SAN-E1-0004,수질,천부,2018,,,,,,,22.417,20
여수둔전,,JN-RSU-E1-0005,수질,심부1,2018,127,46,19.05,34,39,10.5,56.145,30
여수둔전,737632,JN-RSU-E1-0006,수질,심부2,2018,127,46,19.05,34,39,10.5,56.172,80
여수둔전,737631,JN-RSU-E1-0004,수질,천부,2018,127,46,19.05,34,39,10.5,56.205,10
여수소라,82035,JN-RSU-L1-0001,국가,암반,2002,127,37,14,34,46,25,48.08,70
여수오림,,JN-RSU-E1-0002,수질,심부1,2014,,,,,,,88.37,34.5
여수오림,771487,JN-RSU-E1-0003,수질,심부2,2014,,,,,,,88.37,80
여수오림,771488,JN-RSU-E1-0001,수질,천부,2014,,,,,,,88.37,15
여수평여,612030,JN-RSU-L1-0002,국가,암반,2012,127,40,17,34,48,38,28.853,100
영광불갑,82036,JN-YGG-L1-0001,국가,암반,2002,126,30,32,35,12,21,27.462,70
영암금계,,JN-YAM-E1-0014,수질,심부1,2018,126,35,49.86,34,43,11.02,18.821,38
영암금계,737648,JN-YAM-E1-0015,수질,심부2,2018,126,35,49.86,34,43,11.02,18.834,80
영암금계,737647,JN-YAM-E1-0013,수질,천부,2018,126,35,49.86,34,43,11.02,18.852,10
영암덕화,,JN-YAM-E1-0005,수질,심부1,2017,126,38,10.56,34,50,7.08,6.98,30
영암덕화,737650,JN-YAM-E1-0006,수질,심부2,2017,126,38,10.56,34,50,7.08,6.98,80
영암덕화,737649,JN-YAM-E1-0004,수질,천부,2017,126,38,10.56,34,50,7.08,6.98,10
영암미암,615519,JN-YAM-L1-0003,국가,암반,2013,126,34,59,34,41,50,23.53,100
영암미암,615520,JN-YAM-L1-0004,국가,충적,2013,126,34,59,34,41,49,23.55,25
영암영암,514306,JN-YAM-L1-0001,국가,암반,2010,126,42,36,34,48,25,8.38,100
영암영암,514307,JN-YAM-L1-0002,국가,충적,2010,126,42,36,34,48,25,8.38,18
영암옥야,,JN-YAM-E1-0002,수질,심부1,2014,126,35,14.04,34,53,44.99,10,33
영암옥야,737652,JN-YAM-E1-0003,수질,심부2,2014,126,35,14.04,34,53,44.99,10,85
영암옥야,737651,JN-YAM-E1-0001,수질,천부,2014,126,35,14.04,34,53,44.99,10,10
영암용앙,,JN-YAM-E1-0017,수질,심부1,2018,126,28,8.76,34,44,59.61,17.375,33
영암용앙,769805,JN-YAM-E1-0018,수질,심부2,2018,126,28,8.76,34,44,59.61,17.338,90
영암용앙,769806,JN-YAM-E1-0016,수질,천부,2018,126,28,8.76,34,44,59.61,17.425,15
영암장천,,JN-YAM-E1-0008,수질,심부1,2017,126,34,54.04,34,45,19.35,18.14,30
영암장천,737654,JN-YAM-E1-0009,수질,심부2,2017,126,34,54.04,34,45,19.35,18.14,80
영암장천,737653,JN-YAM-E1-0007,수질,천부,2017,126,34,54.04,34,45,19.35,18.14,10
영암학산,615521,JN-YAM-L1-0005,국가,암반,2013,126,35,6,34,43,40,33.23,100
영암회문,737655,JN-YAM-E1-0011,수질,심부1,2018,126,41,7.44,34,47,35.93,23.265,30
영암회문,737656,JN-YAM-E1-0012,수질,심부2,2018,126,41,7.44,34,47,35.93,23.235,70.5
영암회문,,JN-YAM-E1-0010,수질,천부,2018,126,41,7.44,34,47,35.93,23.248,10
완도가용,,JN-WDO-E1-0005,수질,심부1,2018,126,44,2.18,34,19,9.64,4.312,35
완도가용,737664,JN-WDO-E1-0006,수질,심부2,2018,126,44,2.18,34,19,9.64,4.347,80
완도가용,737663,JN-WDO-E1-0004,수질,천부,2018,126,44,2.18,34,19,9.64,4.276,21
완도군외,612004,JN-WDO-L1-0001,국가,암반,2012,126,40,6,34,20,51,146.87,100
완도덕암,,JN-WDO-E1-0002,수질,심부1,2018,126,48,15.11,34,24,0.02,25.029,30
완도덕암,769809,JN-WDO-E1-0003,수질,심부2,2018,126,48,15.11,34,24,0.02,25.013,80
완도덕암,769810,JN-WDO-E1-0001,수질,천부,2018,126,48,15.11,34,24,0.02,24.993,13.5
임실덕치,514701,JB-ISL-L1-0006,국가,암반,2001,127,9,6,35,28,14,196.6,120
